
Residuals generated by the frac-comp program

Calculated as difference between ../../Documents/KLOE22_Shared/bkgdsub/fracts_Mtrk.txt and ../../Documents/KLOE22_Shared/bkgdsub/fracts_Mtrk_drcfilfo.txt in QQpipi
---------------------------------------------------------------------------- 

QQpipi     res(ppg)       dres(ppg)      res(mmg)       dres(mmg)      res(eeg)       dres(eeg)      res(ppp)       dres(ppp)

0.32      -1.48e-04       1.44e-02      -3.09e-04       1.04e-02       8.00e-06       0.00e+00       4.50e-04       8.20e-03
0.34       9.30e-05       1.22e-02      -4.43e-04       8.07e-03      -6.00e-06       0.00e+00       3.56e-04       6.27e-03
0.36       1.49e-03       9.72e-03      -1.29e-03       6.45e-03      -4.00e-06       0.00e+00      -1.95e-04       5.14e-03
0.38      -3.03e-04       1.01e-02       2.90e-04       5.80e-03       3.00e-06       0.00e+00       1.10e-05       4.30e-03
0.40       1.32e-03       9.19e-03      -1.66e-03       4.86e-03      -1.00e-06       0.00e+00       3.41e-04       3.54e-03
0.42       1.74e-03       8.35e-03      -1.49e-03       4.06e-03      -1.10e-05       0.00e+00      -2.35e-04       3.08e-03
0.44       1.07e-03       7.75e-03      -1.08e-03       3.25e-03       3.00e-06       0.00e+00       1.00e-06       2.65e-03
0.46       1.58e-03       6.81e-03      -1.64e-03       2.72e-03      -4.00e-06       0.00e+00       6.70e-05       2.23e-03
0.48       1.15e-03       6.00e-03      -1.16e-03       2.27e-03      -4.00e-06       0.00e+00       0.00e+00       0.00e+00
0.50       1.68e-03       5.50e-03      -1.75e-03       1.90e-03      -1.10e-05       0.00e+00       8.50e-05       1.70e-03
0.52       1.25e-03       5.05e-03      -1.18e-03       1.62e-03      -1.20e-05       0.00e+00      -5.10e-05       1.74e-03
0.54       6.54e-04       4.67e-03      -6.54e-04       1.43e-03      -3.00e-06       0.00e+00       3.00e-06       1.66e-03
0.56       5.95e-04       4.39e-03      -5.75e-04       1.29e-03      -2.00e-06       0.00e+00      -1.90e-05       1.47e-03
0.58       9.70e-04       4.19e-03      -9.10e-04       1.23e-03      -5.00e-06       0.00e+00      -5.50e-05       1.36e-03
0.60       1.15e-03       4.10e-03      -1.14e-03       1.34e-03      -9.00e-06       0.00e+00       0.00e+00       0.00e+00
0.62       2.34e-03       4.41e-03      -2.32e-03       1.63e-03      -1.30e-05       0.00e+00       0.00e+00       0.00e+00
0.64       2.38e-03       4.46e-03      -2.36e-03       1.70e-03      -1.60e-05       0.00e+00       0.00e+00       0.00e+00
0.66       2.24e-03       4.59e-03      -2.22e-03       1.86e-03      -1.90e-05       0.00e+00       0.00e+00       0.00e+00
0.68       2.30e-03       3.62e-03      -2.28e-03       2.00e-03      -1.50e-05       0.00e+00       0.00e+00       0.00e+00
0.70       2.97e-03       4.88e-03      -2.95e-03       2.26e-03      -2.20e-05       0.00e+00       0.00e+00       0.00e+00
0.72       3.09e-03       3.90e-03      -3.08e-03       2.41e-03      -1.10e-05       0.00e+00       0.00e+00       0.00e+00
0.74       3.09e-03       5.06e-03      -3.04e-03       2.69e-03      -3.80e-05       0.00e+00       0.00e+00       0.00e+00
0.76       4.41e-03       4.05e-03      -4.37e-03       2.77e-03      -4.10e-05       0.00e+00       0.00e+00       0.00e+00
0.78       3.49e-03       5.11e-03      -3.46e-03       3.09e-03      -2.20e-05       0.00e+00       0.00e+00       0.00e+00
0.80       3.52e-03       5.08e-03      -3.49e-03       3.23e-03      -2.10e-05       0.00e+00       0.00e+00       0.00e+00
0.82       4.46e-03       4.89e-03      -4.42e-03       3.32e-03      -4.40e-05       0.00e+00       0.00e+00       0.00e+00
0.84       3.31e-03       4.89e-03      -3.28e-03       3.42e-03      -2.00e-05       0.00e+00       0.00e+00       0.00e+00
0.86       1.89e-03       4.00e-03      -1.89e-03       3.25e-03       0.00e+00       0.00e+00       0.00e+00       0.00e+00
0.88       3.02e-04       4.57e-03      -2.94e-04       3.49e-03      -4.00e-06       0.00e+00       0.00e+00       0.00e+00
0.90      -9.86e-04       4.37e-03       9.72e-04       3.45e-03       1.70e-05       0.00e+00       0.00e+00       0.00e+00
0.92      -1.26e-03       3.49e-03       1.26e-03       3.06e-03       5.00e-06       0.00e+00       0.00e+00       0.00e+00
0.94      -1.67e-03       3.86e-03       1.66e-03       3.22e-03       1.10e-05       0.00e+00       0.00e+00       0.00e+00
0.96      -2.41e-03       3.56e-03       2.39e-03       3.01e-03       1.70e-05       0.00e+00       0.00e+00       0.00e+00
