
Residuals generated by the frac-comp program

Calculated as difference between fractfile1.txt and fractfile2.txt in QQpipi
---------------------------------------------------------------------------- 

QQpipi     res(ppg)       dres(ppg)      res(mmg)       dres(mmg)      res(eeg)       dres(eeg)      res(ppp)       dres(ppp)

0.32      -3.84e-02       1.60e-02      -3.55e-02       1.16e-02       4.28e-02       4.35e-03       3.17e-02       8.75e-03
0.34      -4.37e-02       1.48e-02      -3.24e-02       8.83e-03       3.14e-02       5.33e-03       4.50e-02       7.17e-03
0.36      -3.73e-02       1.26e-02      -5.02e-02       1.00e-02       4.45e-02       1.32e-02       4.31e-02       6.59e-03
0.38      -2.01e-01       5.38e-02      -2.55e-01       2.81e-02       4.94e-01       9.49e-02      -3.77e-02       4.75e-02
0.40       3.93e-03       1.02e-02      -2.75e-02       5.58e-03      -2.19e-03       1.68e-03       2.59e-02       5.08e-03
0.42       3.62e-02       9.34e-03      -4.53e-02       5.07e-03      -2.08e-03       3.84e-03       1.14e-02       4.97e-03
0.44       7.21e-02       9.49e-03      -5.50e-02       5.42e-03       1.01e-02       6.29e-03      -2.72e-02       5.09e-03
0.46       5.26e-02       8.14e-03      -3.65e-02       4.46e-03       1.99e-04       5.37e-03      -1.63e-02       4.26e-03
0.48       1.01e-01       7.54e-03      -5.90e-02       4.24e-03       3.79e-03       3.67e-03      -4.61e-02       4.48e-03
0.50       3.87e-02       6.26e-03      -3.99e-02       3.14e-03       1.02e-02       3.32e-03      -9.03e-03       3.62e-03
0.52       3.51e-02       5.62e-03      -3.33e-02       2.96e-03       7.76e-03       2.16e-03      -9.63e-03       2.97e-03
0.54       5.94e-02       5.92e-03      -7.17e-02       3.72e-03       5.76e-03       2.13e-03       6.56e-03       3.76e-03
0.56       1.16e-01       5.77e-03      -1.20e-01       4.29e-03       3.03e-03       2.00e-03       1.67e-03       2.69e-03
0.58       1.75e-01       6.06e-03      -1.87e-01       5.28e-03       5.14e-03       1.77e-03       7.26e-03       1.14e-03
0.60       9.13e-01       1.33e-02       6.72e-02       1.59e-02       1.58e-02       2.51e-03      -9.96e-01       3.28e-02
0.62       8.95e-01       6.90e-02       8.89e-02       2.53e-02       1.22e-02       2.58e-03      -9.98e-01       1.21e-01
0.64       8.84e-01       1.36e-02       9.48e-02       1.56e-02       1.71e-02       2.99e-03      -9.96e-01       1.56e-01
0.66       8.72e-01       1.89e-02       1.09e-01       4.81e-02       1.51e-02       3.39e-03      -9.96e-01       8.59e-02
0.68       2.70e-01       7.39e-03      -2.84e-01       7.07e-03       1.34e-02       2.96e-03       8.06e-04       1.05e-04
0.70       8.34e-01       4.41e-02       1.37e-01       5.14e-02       2.45e-02       4.11e-03      -9.97e-01       2.12e-01
0.72       8.19e-01       9.46e-02       1.67e-01       1.50e-01       9.81e-03       3.85e-03      -9.96e-01       7.06e-01
0.74       7.88e-01       8.12e-02       1.73e-01       1.05e-01       3.48e-02       5.04e-03      -1.00e+00       9.14e-01
0.76       3.25e-01       7.81e-03      -3.41e-01       8.12e-03       1.64e-02       4.59e-03       0.00e+00       0.00e+00
0.78       3.35e-01       8.19e-03      -3.50e-01       8.53e-03       1.56e-02       4.55e-03       0.00e+00       0.00e+00
0.80       3.50e-01       8.37e-03      -3.52e-01       9.05e-03       1.88e-03       5.31e-03       0.00e+00       0.00e+00
0.82       3.64e-01       8.22e-03      -3.58e-01       8.77e-03      -5.49e-03       9.24e-04       0.00e+00       0.00e+00
0.84       3.43e-01       8.41e-03      -3.38e-01       9.00e-03      -5.94e-03       1.09e-03       0.00e+00       0.00e+00
0.86       3.48e-01       8.66e-03      -3.43e-01       9.49e-03      -5.58e-03       4.82e-04       0.00e+00       0.00e+00
0.88       3.77e-01       1.03e-02      -3.71e-01       1.14e-02      -6.00e-03       4.46e-04       0.00e+00       0.00e+00
0.90       3.77e-01       1.38e-02      -3.71e-01       1.51e-02      -6.17e-03       7.51e-04       0.00e+00       0.00e+00
0.92       3.22e-01       1.72e-02      -3.16e-01       1.88e-02      -6.58e-03       3.86e-04       0.00e+00       0.00e+00
0.94       5.39e-01       3.34e-02      -5.33e-01       3.69e-02      -6.31e-03       2.39e-04       0.00e+00       0.00e+00
0.96       5.97e-01       4.44e-03      -5.89e-01       4.95e-02      -8.13e-03       4.10e-04       0.00e+00       0.00e+00
