
Residuals generated by the frac-comp program

Calculated as difference between /Users/lorenzo/scientific_programming/frac-comp/fractfile2.txt and /Users/lorenzo/scientific_programming/frac-comp/fractfile1.txt in QQpipi
---------------------------------------------------------------------------- 

QQpipi     res(ppg)       dres(ppg)      res(mmg)       dres(mmg)      res(eeg)       dres(eeg)      res(ppp)       dres(ppp)

0.32       3.84e-02       1.60e-02       3.55e-02       1.16e-02      -4.28e-02       4.35e-03      -3.17e-02       8.75e-03
0.34       4.37e-02       1.48e-02       3.24e-02       8.83e-03      -3.14e-02       5.33e-03      -4.50e-02       7.17e-03
0.36       3.73e-02       1.26e-02       5.02e-02       1.00e-02      -4.45e-02       1.32e-02      -4.31e-02       6.59e-03
0.38       2.01e-01       5.38e-02       2.55e-01       2.81e-02      -4.94e-01       9.49e-02       3.77e-02       4.75e-02
0.40      -3.93e-03       1.02e-02       2.75e-02       5.58e-03       2.19e-03       1.68e-03      -2.59e-02       5.08e-03
0.42      -3.62e-02       9.34e-03       4.53e-02       5.07e-03       2.08e-03       3.84e-03      -1.14e-02       4.97e-03
0.44      -7.21e-02       9.49e-03       5.50e-02       5.42e-03      -1.01e-02       6.29e-03       2.72e-02       5.09e-03
0.46      -5.26e-02       8.14e-03       3.65e-02       4.46e-03      -1.99e-04       5.37e-03       1.63e-02       4.26e-03
0.48      -1.01e-01       7.54e-03       5.90e-02       4.24e-03      -3.79e-03       3.67e-03       4.61e-02       4.48e-03
